lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
MI,"Grand Traverse County, Michigan",Grand Traverse County, Michigan,37408,2.9,1.4,9.7,9.4,14.1,19.6,16.9,14.2,5,6.9,65266
MI,"Ingham County, Michigan",Ingham County, Michigan,114534,7.3,4.6,10.4,10.6,13.7,18,11.6,13.8,5.2,4.8,54395
MI,"Isabella County, Michigan",Isabella County, Michigan,24690,11.5,6.2,12.1,11.9,12.4,17.3,11.7,9.7,4,3.1,45201
MI,"Jackson County, Michigan",Jackson County, Michigan,61403,7.1,5.4,8.9,10,14.6,16.7,16.6,12,5.2,3.5,55124
MI,"Kalamazoo County, Michigan",Kalamazoo County, Michigan,103196,7.9,3.8,7,11.1,13.8,18.4,14.6,11.3,6.4,5.8,56441
MI,"Kent County, Michigan",Kent County, Michigan,245437,4.3,3.4,8,8.1,13.1,19.3,14.6,17.1,6.1,6.1,66532
MI,"Lapeer County, Michigan",Lapeer County, Michigan,33902,5.4,3,7.9,5.9,14.8,19.2,16,15.9,7.8,4.1,66263
MI,"Lenawee County, Michigan",Lenawee County, Michigan,38499,6.5,2.7,8.4,12.8,16.2,20.4,11.9,13.6,3.8,3.8,53865
MI,"Livingston County, Michigan",Livingston County, Michigan,73502,1.9,1.7,6.1,6,9.8,17.3,14.4,21.9,10.3,10.4,86512
MI,"Macomb County, Michigan",Macomb County, Michigan,351666,4.4,3.4,7.9,9.8,12.2,19.4,14.4,17.3,6.5,4.5,64947
MI,"Marquette County, Michigan",Marquette County, Michigan,27981,4,4.2,9.2,8.8,17.4,23.2,14.6,12.4,2.9,3.2,55148
MI,"Midland County, Michigan",Midland County, Michigan,34350,5.4,3.9,6.7,7.4,13.3,17.5,15.8,14.9,7.8,7.3,69872
MI,"Monroe County, Michigan",Monroe County, Michigan,60875,5.1,3.6,9.5,9.9,10.7,19,13,18.2,6.2,4.6,62839
MI,"Muskegon County, Michigan",Muskegon County, Michigan,66148,5.5,5.3,11.8,11.8,15.2,19.7,14.1,11.1,2.9,2.7,50366
MI,"Oakland County, Michigan",Oakland County, Michigan,508464,3.8,3.2,6.3,7.1,9.7,15.9,13.8,17.9,9.7,12.7,81190
MI,"Ottawa County, Michigan",Ottawa County, Michigan,105004,3.2,1.9,8.1,6.7,13,20.6,14.9,17.8,8.2,5.5,68817
MI,"Saginaw County, Michigan",Saginaw County, Michigan,79050,6.9,4.5,11.7,12.8,16.1,18,10.9,11.6,4.3,3.3,48303
MI,"St. Clair County, Michigan",St. Clair County, Michigan,63806,4.9,4.5,7.8,11.7,12.8,18.2,13,16.7,6.5,4,59837
MI,"Shiawassee County, Michigan",Shiawassee County, Michigan,26830,4.8,4.9,9.3,9.8,15.1,18.9,15.6,14.3,5.5,1.7,55249
MI,"Van Buren County, Michigan",Van Buren County, Michigan,30974,4.9,3,9.5,13.2,12.6,18.4,18.7,13.1,4,2.7,60549
MI,"Washtenaw County, Michigan",Washtenaw County, Michigan,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576
MI,"Wayne County, Michigan",Wayne County, Michigan,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753
MN,"Anoka County, Minnesota",Anoka County, Minnesota,131858,2.3,1.9,5.4,5.5,10.2,17.8,17.1,21.8,10,8.1,83353
MN,"Blue Earth County, Minnesota",Blue Earth County, Minnesota,26461,7,3.5,8.6,6.9,14.8,18.2,16.7,16.3,5.2,2.8,61133
MN,"Carver County, Minnesota",Carver County, Minnesota,38860,2.2,2.2,4.2,5.1,8.1,13.5,13,21.5,12.4,17.9,101434
MN,"Crow Wing County, Minnesota",Crow Wing County, Minnesota,28012,5.7,3.6,9.2,9.5,12.4,22.7,14.2,14.7,4.3,3.8,60534
MN,"Dakota County, Minnesota",Dakota County, Minnesota,162895,3.5,1.9,4.7,6,10.3,15.7,13.6,22.4,10.6,11.5,88864
MN,"Hennepin County, Minnesota",Hennepin County, Minnesota,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369
MN,"Olmsted County, Minnesota",Olmsted County, Minnesota,65635,2.3,2.5,5.7,7.5,11.6,17.7,12.5,19.6,9.7,10.8,80096
MN,"Ramsey County, Minnesota",Ramsey County, Minnesota,206124,5.4,3.5,6.9,7.6,13,17.7,12.9,18.2,7.6,7,68871
MN,"Rice County, Minnesota",Rice County, Minnesota,22861,4.2,4.7,6.1,6,12,17.5,18,17.9,6.7,6.8,72469
MN,"St. Louis County, Minnesota",St. Louis County, Minnesota,86448,6.9,4.8,9.5,7.4,12.5,20.3,12.7,17.2,4.6,4.1,60434
MN,"Scott County, Minnesota",Scott County, Minnesota,51474,1.2,2.1,2.8,5,9.7,13.4,11.2,23.3,13.9,17.4,108761
MN,"Sherburne County, Minnesota",Sherburne County, Minnesota,32686,2.4,1.6,4.5,4.4,7.7,18.2,13.3,28.8,8.9,10.1,96210
MN,"Stearns County, Minnesota",Stearns County, Minnesota,59776,3.6,4.1,7.4,9.7,11.5,20.6,15.5,15.6,7.7,4.2,66558
