LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
NC,"Rowan County, North Carolina",Rowan County, North Carolina,0500000US37159,55241,4.4,5.5,13.6,9.8,14.5,21.5,12.8,11.4,3.7,2.8,51927,37900,3.8,1.7,10.6,10,4.2,62894,76381,39.6
NC,"Rutherford County, North Carolina",Rutherford County, North Carolina,0500000US37161,27970,4.3,8,13.5,12.8,17.5,18.3,10.4,9.1,2.1,3.9,44361,18874,2,2.9,7,14.7,4.4,50846,71868,33.7
NC,"Surry County, North Carolina",Surry County, North Carolina,0500000US37171,28408,9.8,5.7,15.8,7.8,11.5,17.7,13.7,14,1.5,2.6,49250,19539,4.8,2.7,10.7,7.8,2.7,66882,74219,36.9
NC,"Union County, North Carolina",Union County, North Carolina,0500000US37179,77954,3.3,2.1,6,6.2,9.7,16.7,13.3,18.8,9.5,14.5,85985,62932,1.6,1.3,3.6,4.8,17.8,100737,127791,38.5
NC,"Wake County, North Carolina",Wake County, North Carolina,0500000US37183,419361,3.6,2.1,6,7.2,10.3,15.6,13.1,19.1,11.2,11.8,84215,279243,1.6,1.3,2.9,5.3,16.6,104821,133488,30.1
NC,"Wayne County, North Carolina",Wayne County, North Carolina,0500000US37191,48482,8.6,5.9,8.9,13.2,19.7,17.3,13.9,8.2,2.6,1.8,44596,30990,5.6,3.7,9.5,10.9,2.6,53190,70723,25.5
NC,"Wilkes County, North Carolina",Wilkes County, North Carolina,0500000US37193,28376,7.8,4.1,17.1,10.6,15.4,16.3,11.3,12.8,3.5,1.2,43290,17409,4.8,1.2,9.9,5.9,1.3,60153,70093,26.7
NC,"Wilson County, North Carolina",Wilson County, North Carolina,0500000US37195,32384,13.5,9.3,12.9,9.7,13.1,13.1,8.7,12.6,4.5,2.6,38830,19760,8.2,6.4,9.1,9,3.9,65768,77014,42.7
ND,"Burleigh County, North Dakota",Burleigh County, North Dakota,0500000US38015,38438,4,4.8,6.5,6.7,11.7,18.1,12.6,21.2,6.5,8,72494,24110,0,2.6,3,4,12.2,95152,120776,34.7
ND,"Cass County, North Dakota",Cass County, North Dakota,0500000US38017,78736,6.2,5,7.5,9.3,11.9,18.8,13.2,14.9,6.1,7.2,62218,42257,2.6,0.9,6.6,5.3,12.7,94182,117063,18.5
ND,"Grand Forks County, North Dakota",Grand Forks County, North Dakota,0500000US38035,31506,7.1,4.5,11.8,13.3,7.4,20.5,12.8,14.2,3.9,4.5,56622,15614,2.7,2.5,10.2,4.9,7.8,81451,97403,28.2
ND,"Ward County, North Dakota",Ward County, North Dakota,0500000US38101,28908,3.5,3.6,6.2,8.4,15,15.6,18.1,20.4,5,4.5,71415,16218,2.2,1.8,2.4,2.3,6.2,92439,105217,28
OH,"Allen County, Ohio",Allen County, Ohio,0500000US39003,40460,5.4,3.7,8.8,10.6,14.8,21.5,17.4,12.7,2.5,2.6,60429,25936,3.5,2.7,4.9,7.5,3.9,69534,78995,33.8
OH,"Ashtabula County, Ohio",Ashtabula County, Ohio,0500000US39007,39490,7.5,5.2,13.5,14.3,12.2,20.6,11.1,10,3.4,2.2,44580,25007,5.6,5.1,10.5,9,3.5,58802,79112,27.7
OH,"Athens County, Ohio",Athens County, Ohio,0500000US39009,22659,10.7,7.7,10.3,13.3,11.8,16.5,10,12.8,4.6,2.2,41851,13715,4.6,1.7,7.3,11.7,3.7,66601,81685,30.7
OH,"Belmont County, Ohio",Belmont County, Ohio,0500000US39013,25651,6.3,5.4,8.9,12,17.6,20.8,9,12.1,3.7,4.2,49780,15467,2.6,2.9,5.7,11.9,6.5,60823,81062,29.1
OH,"Butler County, Ohio",Butler County, Ohio,0500000US39017,140141,6.3,3.2,7.5,7.4,11.1,18,15,15.7,9,6.8,68584,95656,3.7,1.5,3.7,6.2,9.2,85417,105466,39.3
OH,"Clark County, Ohio",Clark County, Ohio,0500000US39023,54406,7.7,4.3,10.1,13,14.6,18.7,12.4,12.3,4.5,2.3,50128,35871,5,2.7,6.1,10,3,62358,77919,35.6
OH,"Clermont County, Ohio",Clermont County, Ohio,0500000US39025,80041,3.9,3.4,8.5,6.4,13.2,18.2,11.8,18.5,8.3,7.7,67744,53630,2.8,1.1,4.1,4.9,9.5,91940,109553,29
OH,"Columbiana County, Ohio",Columbiana County, Ohio,0500000US39029,40560,7.3,5.5,9.7,10.5,12.4,21.8,14.6,14.2,2.5,1.5,53542,25372,5.2,1.9,7.2,7.3,2.1,67973,74151,30.6
OH,"Cuyahoga County, Ohio",Cuyahoga County, Ohio,0500000US39035,549471,8.5,5.7,10.4,9.9,12.9,18.2,11.7,12.6,4.8,5.4,52423,298268,4.2,2.9,7,8.2,8.6,70517,97757,35.5
OH,"Delaware County, Ohio",Delaware County, Ohio,0500000US39041,73290,2.2,1.1,5.7,5.4,7.7,11.4,11.8,22.2,12.9,19.6,107854,56249,1.3,0.7,3,2.3,23.8,129811,155762,24
OH,"Erie County, Ohio",Erie County, Ohio,0500000US39043,30308,6.8,2.9,7.5,8.7,14.8,19.2,16.1,16.5,4.7,2.7,60653,19645,3.3,1.1,3.7,7.7,3.8,75004,99356,34.7
OH,"Fairfield County, Ohio",Fairfield County, Ohio,0500000US39045,59031,2.8,3,8,9.4,10.2,19.3,13.8,19.2,7.3,7,71469,40951,1.2,1.3,3.7,7.4,9.8,85139,105886,29.1
OH,"Franklin County, Ohio",Franklin County, Ohio,0500000US39049,522383,5.4,3.3,9,8.2,12.1,19.5,12.7,16,7.1,6.7,64713,305724,3.7,2.1,6.1,6.6,9.5,82042,105363,31
OH,"Geauga County, Ohio",Geauga County, Ohio,0500000US39055,35439,2.5,2.3,5.6,10.1,10.4,17.5,13.3,18.9,9.1,10.3,77391,25214,0.4,0.4,2.5,6.3,13.4,97233,123757,38
OH,"Greene County, Ohio",Greene County, Ohio,0500000US39057,66154,4.1,2.8,8.2,9.6,13.3,16.3,13.7,15.6,8.5,7.7,67394,40889,2.3,1.7,4.1,7.1,11.1,89205,111300,27.1
OH,"Hamilton County, Ohio",Hamilton County, Ohio,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,200635,4.3,1.9,6.8,6.8,12.2,82274,113104,37.5
OH,"Hancock County, Ohio",Hancock County, Ohio,0500000US39063,32490,4.4,2.9,10.2,9.1,15.1,17.7,14.1,13.7,6.9,5.9,60944,19323,2.5,0.5,3,5.7,7.8,80560,105935,30.4
OH,"Jefferson County, Ohio",Jefferson County, Ohio,0500000US39081,27515,9.6,6,11,7.9,17.6,17.4,11.8,13.1,3.9,1.7,47445,17298,5.7,1.5,9,5.6,2.7,59820,73883,38.8
OH,"Lake County, Ohio",Lake County, Ohio,0500000US39085,96967,2.8,4,8.3,8.3,14,20.3,15.5,16.4,6.2,4.2,64076,59299,1.1,2,4.3,5.7,6.7,81149,95945,34.9
OH,"Licking County, Ohio",Licking County, Ohio,0500000US39089,66604,4.7,4.1,7.9,9.4,10.4,19.4,13.1,17.6,6.5,6.9,66013,47172,2.7,2.5,4.6,6,8.5,79737,99688,30.1
OH,"Lorain County, Ohio",Lorain County, Ohio,0500000US39093,120299,6.6,5.7,9.1,9.5,12.3,17.7,13.4,14.8,5.4,5.5,58686,74430,5.6,2.6,5.3,6.3,7.9,77160,94989,26.7
OH,"Lucas County, Ohio",Lucas County, Ohio,0500000US39095,182105,10.4,4.6,11,11.6,13,16.8,11.2,12.4,5.1,3.8,49448,107737,6.8,2.3,9.3,8.6,5.7,65250,86071,35.4
OH,"Mahoning County, Ohio",Mahoning County, Ohio,0500000US39099,100057,8.3,6.6,11.5,12.2,13.8,16.6,12.8,11.9,3.1,3.2,47170,59535,5.2,4.9,7.3,10.8,5.1,61545,76517,27.6
OH,"Marion County, Ohio",Marion County, Ohio,0500000US39101,25013,7,6.7,7.9,11.6,16.2,19.7,12.1,10.7,3.6,4.6,50608,16000,4.8,3.3,6.3,11.4,7.2,61916,93247,47.4
OH,"Medina County, Ohio",Medina County, Ohio,0500000US39103,70450,3.2,2,5.7,7.6,12.5,17.9,13.4,20.8,8.8,8,76468,48692,1.5,1,2.6,4.2,11.3,95589,116506,30.4
OH,"Miami County, Ohio",Miami County, Ohio,0500000US39109,41273,4,3.7,10.5,8.7,12.8,18.7,13.9,18.4,5,4.2,62451,25875,2.8,0.6,5.8,6.6,5.3,81582,91242,29.2
OH,"Montgomery County, Ohio",Montgomery County, Ohio,0500000US39113,224831,7.2,4,10.9,10.8,13.1,18.6,13.8,13.7,4.1,3.8,54537,130809,4.5,2.5,7.4,7.4,5.7,71636,88460,32.5
OH,"Muskingum County, Ohio",Muskingum County, Ohio,0500000US39119,33342,7.1,5,10.3,13.6,12.7,19.2,14.2,11.3,4.3,2.3,51844,21489,2.8,5.3,7.6,11.3,3.5,65352,78549,37.9
OH,"Portage County, Ohio",Portage County, Ohio,0500000US39133,61018,6.1,4,10,8.6,15.5,18.8,12.4,15.7,5,4,56679,39423,2.6,2.5,5.8,7.6,5.2,75019,89844,36.4
OH,"Richland County, Ohio",Richland County, Ohio,0500000US39139,49812,6.2,3.6,13.1,10,14.9,21.8,15.2,10.9,2.6,1.6,51783,32998,2.9,1.7,9.6,9.3,2.3,63585,78385,32.6
OH,"Ross County, Ohio",Ross County, Ohio,0500000US39141,28365,7.9,5.9,9.5,13.9,8.9,17.8,16.9,12.7,3.4,3.3,55717,18603,4,2.9,8.2,10.1,4.6,68173,82067,28.2
OH,"Scioto County, Ohio",Scioto County, Ohio,0500000US39145,29319,9.9,8.8,10.6,8.1,15.5,14.4,15.9,10.7,3.9,2.3,45571,19559,10.4,4,8.6,8,3.1,60373,71290,40.4
OH,"Stark County, Ohio",Stark County, Ohio,0500000US39151,154280,6.1,4.6,10.5,10.2,14.3,19.9,12.4,14.1,4.2,3.8,55499,97240,3.5,3.1,5.9,6.4,5.2,68688,85219,32.1
OH,"Summit County, Ohio",Summit County, Ohio,0500000US39153,224629,6.8,4.2,9.4,11,13.2,18.3,12.2,12.7,5.9,6.2,57364,134363,3.7,2,5.7,8.8,9.1,73428,103046,29.5
OH,"Trumbull County, Ohio",Trumbull County, Ohio,0500000US39155,84159,7.9,6.5,10.6,11.5,16.2,21.7,10.1,9.5,2.8,3.2,47087,51625,4.1,4,6.7,10.7,4.5,56455,76406,35.3
OH,"Tuscarawas County, Ohio",Tuscarawas County, Ohio,0500000US39157,36788,6,4.1,10.2,11.8,13.8,22.4,14.4,12.9,1.9,2.5,53616,23917,4.4,0.7,6.1,8.6,2.9,64420,76058,23.1
OH,"Warren County, Ohio",Warren County, Ohio,0500000US39165,84460,2.2,1.7,4.2,3.8,10.4,18.2,14.4,19,11.4,14.7,90837,62246,1.4,0.3,1.5,1.9,19.5,109570,145342,33.2
OH,"Wayne County, Ohio",Wayne County, Ohio,0500000US39169,44589,4.6,5.4,7.2,11.8,13.6,21.5,13.4,14.7,4.3,3.5,57458,29618,1.9,1.5,5,8.5,5.1,72339,85597,26.2
OH,"Wood County, Ohio",Wood County, Ohio,0500000US39173,51353,5.3,3.4,8.8,8.9,11.6,19.9,14.8,12.4,8.5,6.3,63791,30318,2.4,1.2,3.3,5,8.9,82348,102900,30.3
OK,"Canadian County, Oklahoma",Canadian County, Oklahoma,0500000US40017,46005,3.6,1.9,5.4,9.6,11.7,18.6,18.8,18.7,6.5,5.2,73635,34002,2.5,0.4,2.6,7.2,6.4,85180,97271,43.9
OK,"Cleveland County, Oklahoma",Cleveland County, Oklahoma,0500000US40027,108673,6.5,3.1,7.8,8.1,11.9,19.3,13.5,18.8,6.2,4.7,64290,67686,2.6,1.2,3.7,6.3,6.7,83305,102445,32.9
OK,"Comanche County, Oklahoma",Comanche County, Oklahoma,0500000US40031,41843,6.3,5.6,10.3,10.9,15.5,18.9,12.2,15.2,3.1,2,51300,26487,3.2,2.8,8.2,12,2.4,60433,73032,30.1
OK,"Creek County, Oklahoma",Creek County, Oklahoma,0500000US40037,26561,5.6,5.6,10,10.8,13.3,19.9,14.5,11.4,4.9,3.9,54969,19020,4.6,2.2,6.3,10.7,5,66194,81801,41.4
OK,"Muskogee County, Oklahoma",Muskogee County, Oklahoma,0500000US40101,26842,8.8,7.5,10.9,15.1,13.5,17.7,8.9,12,2.9,2.7,42450,18512,6.4,4.8,7.8,15.2,3.8,53239,75613,32.5
OK,"Oklahoma County, Oklahoma",Oklahoma County, Oklahoma,0500000US40109,305493,6.8,4.6,9.5,8.9,14,18.7,12.2,13,5.8,6.5,56235,187005,4.2,2.8,6.6,8.1,8.7,71408,101020,38
OK,"Payne County, Oklahoma",Payne County, Oklahoma,0500000US40119,31788,13.9,5,13.9,10.1,16.4,14.2,12,8.4,2.5,3.4,41272,18374,5.6,0.8,11.5,6.9,5.1,58928,74233,23.4
OK,"Pottawatomie County, Oklahoma",Pottawatomie County, Oklahoma,0500000US40125,25655,6.7,6.3,12.4,7.2,12.6,22.3,12.6,12.9,4.4,2.5,53511,17795,3.5,3.1,7.6,5.5,3.2,67204,79357,42.3
OK,"Rogers County, Oklahoma",Rogers County, Oklahoma,0500000US40131,35531,3.7,3.6,7.3,7.2,12.5,23,15,16.4,6.3,5.1,66132,25451,2.5,1.8,4.7,6,6.3,77005,94727,30.7
OK,"Tulsa County, Oklahoma",Tulsa County, Oklahoma,0500000US40143,255352,6.6,4,9.5,10.1,13.3,18.3,12.1,13.4,5.7,7,57483,159480,4.1,2.2,6.3,8.1,9.8,74319,103723,36.4
OK,"Wagoner County, Oklahoma",Wagoner County, Oklahoma,0500000US40145,29837,3.1,4,9,8.2,12.5,20.5,14.7,16.4,6.9,4.8,64319,21399,1.4,1.8,4.9,6.8,6.8,79402,98923,31.9
OR,"Benton County, Oregon",Benton County, Oregon,0500000US41003,37378,8.8,4.3,5.6,8.6,8.4,17.2,12.7,17.5,10.7,6.2,70835,21244,5.3,0.9,2.6,5.4,10.1,100075,114289,24.6
OR,"Clackamas County, Oregon",Clackamas County, Oregon,0500000US41005,161295,4.2,2.4,5.1,7,10.8,17.7,13.2,18.8,9.7,11.1,80294,108546,2.4,0.8,3.1,4.7,13.9,97635,123202,28.9
OR,"Deschutes County, Oregon",Deschutes County, Oregon,0500000US41017,76528,6.8,2.4,4.9,8.5,12.2,16.5,15.3,17.7,7.9,7.6,71643,50256,3.2,1.7,4.1,5.3,9.3,87855,104743,35.9
OR,"Douglas County, Oregon",Douglas County, Oregon,0500000US41019,46186,5.2,3.1,9.9,14.2,19.2,20,12.3,9.9,4,2.2,48585,31396,2.3,1.6,6.9,12,2.4,54865,70795,43.6
OR,"Jackson County, Oregon",Jackson County, Oregon,0500000US41029,87800,6.7,4.8,9.4,10.3,14.4,17.1,14.2,13.3,4.9,4.9,56450,53256,3.7,1.3,7,7.3,6.6,73249,89550,34.8
OR,"Josephine County, Oregon",Josephine County, Oregon,0500000US41033,35206,5,3.4,15.3,10.5,17.9,19.8,10.5,12,3.1,2.6,47573,23589,3.3,1.4,11,14.2,3.3,54646,69819,37.5
OR,"Klamath County, Oregon",Klamath County, Oregon,0500000US41035,29357,6.8,6.9,10.8,9.1,11.8,22.6,11.8,13,4.9,2.4,56348,18394,4,4.3,5.6,11.4,2.1,62361,73301,38.1
OR,"Lane County, Oregon",Lane County, Oregon,0500000US41039,155696,6.2,5.1,10.2,10,13.6,17.4,13.2,14.7,5.1,4.5,57325,91847,2.9,2.5,5.7,7.7,6.6,75523,94211,25.3
OR,"Linn County, Oregon",Linn County, Oregon,0500000US41043,49407,3.5,3.7,9.9,9.9,14.1,17.5,16.1,17.1,5.3,2.7,61488,30994,2.2,1.3,4.7,8.2,3.1,76343,84399,30.4
OR,"Marion County, Oregon",Marion County, Oregon,0500000US41047,121061,4.2,4.3,7.6,8.9,13.4,20.7,14.1,16,7.1,3.7,64306,81767,2.8,2.3,4.4,7.4,4.9,74731,89287,25.2
OR,"Multnomah County, Oregon",Multnomah County, Oregon,0500000US41051,337903,5.9,3.5,6.5,6.5,11.4,17.3,12.4,18,8.5,10,72900,177647,1.8,1.7,4.4,5.5,14.5,93528,120942,25.2
OR,"Polk County, Oregon",Polk County, Oregon,0500000US41053,31224,4.9,3.9,6.3,7.1,11.2,17,12.8,24.2,7.6,4.9,72914,21221,2.6,0,3.4,5.4,6.2,99494,104589,24.3
OR,"Umatilla County, Oregon",Umatilla County, Oregon,0500000US41059,27538,3.4,4.6,11.1,9.2,14.2,17.9,13.6,15.5,5.2,5.4,60425,17591,2.9,0.6,7.3,9.4,5.8,75064,87182,36.6
OR,"Washington County, Oregon",Washington County, Oregon,0500000US41067,222877,4.4,2.4,4.5,6.1,8.7,17.5,14.8,18.6,11.6,11.5,85734,144206,2.6,0.9,2.9,4.5,15.6,104149,128743,25.9
OR,"Yamhill County, Oregon",Yamhill County, Oregon,0500000US41071,36323,5.6,3.6,6.1,5.6,11.6,20.4,15.3,18.8,8.2,4.8,72904,24676,4.1,1.3,5.6,4,6.3,82426,96299,27.9
PA,"Adams County, Pennsylvania",Adams County, Pennsylvania,0500000US42001,38703,2.6,3.2,9.3,8.1,13.2,18,17.4,16.2,6.7,5.2,67715,26375,1.3,2.3,3.4,7.2,7.1,81210,99218,29.4
PA,"Allegheny County, Pennsylvania",Allegheny County, Pennsylvania,0500000US42003,553858,6.4,3.6,8.4,8.6,11.9,17.5,12.7,16.1,7,7.9,64871,301596,3.5,1.3,4,5.5,12.3,90891,119863,34.7
PA,"Armstrong County, Pennsylvania",Armstrong County, Pennsylvania,0500000US42005,29095,3.1,5.7,12.2,8.2,15.3,22.6,13.6,12.6,4.2,2.5,57636,18184,2.6,2.4,5.8,7.1,3.3,68733,82941,35.8
PA,"Beaver County, Pennsylvania",Beaver County, Pennsylvania,0500000US42007,70745,5.2,4.8,9.9,8.7,14.3,17.5,13.7,15.2,6.8,3.8,60672,43107,3,1.7,5.9,6.5,5.8,79450,94002,35.4
PA,"Berks County, Pennsylvania",Berks County, Pennsylvania,0500000US42011,154696,5,3.1,7.8,7.6,13.7,18.1,13.6,19.3,6.6,5.2,67708,105402,3.5,1.2,4.9,5.2,6.7,81575,97936,45.8
PA,"Blair County, Pennsylvania",Blair County, Pennsylvania,0500000US42013,52497,6.5,4.8,10,11.7,15.9,17.5,12.6,13.2,5.1,2.8,51004,34637,3.8,3.4,7,9.2,3.6,65157,80697,27.9
PA,"Bucks County, Pennsylvania",Bucks County, Pennsylvania,0500000US42017,240491,3,1.9,7,5.4,8.7,14.1,12.9,20.3,12,14.8,93767,167024,1.7,0.6,3.1,3.7,18,112006,139798,37.2
PA,"Butler County, Pennsylvania",Butler County, Pennsylvania,0500000US42019,77920,6.2,3.3,6.9,7.6,11,16.4,12.9,18.6,7.4,9.7,72262,50071,2.9,1.1,2.7,4.5,13.2,96134,115734,31.1
PA,"Cambria County, Pennsylvania",Cambria County, Pennsylvania,0500000US42021,56490,8,7.1,10.8,10.8,14,18.2,13.8,11.6,3.3,2.3,49076,35187,4.3,2.6,5.7,9,3.3,66461,79360,27.6
PA,"Carbon County, Pennsylvania",Carbon County, Pennsylvania,0500000US42025,27107,3.6,3.4,8,9.9,14,18.9,16,16.7,5.3,4.1,61111,17562,2,0.8,3.9,7.1,5.5,72639,89053,35.3
PA,"Centre County, Pennsylvania",Centre County, Pennsylvania,0500000US42027,58963,6.8,3.7,10.1,8.8,11,19.4,12.4,14.6,6.5,6.8,60706,33225,2,1.7,3,5.8,10.7,87538,110682,29.9
PA,"Chester County, Pennsylvania",Chester County, Pennsylvania,0500000US42029,193234,3.2,2,4.5,4.8,7.7,15.1,11.8,17.9,12,21,102016,136514,1.8,0.6,2,2.9,27.2,129511,173250,31.3
PA,"Clearfield County, Pennsylvania",Clearfield County, Pennsylvania,0500000US42033,31990,5.5,6.2,11.1,12.4,18.6,19.7,13,10.8,2,0.7,45643,20083,2.6,2.4,8.8,10.5,0.9,60907,66832,40.2
PA,"Columbia County, Pennsylvania",Columbia County, Pennsylvania,0500000US42037,26219,8.3,5.6,7.1,10.6,14.7,18.2,13.4,13.6,5.3,3.1,54570,16631,3.6,3.7,7.2,8.8,4.1,66546,84234,30.8
PA,"Crawford County, Pennsylvania",Crawford County, Pennsylvania,0500000US42039,35387,5,5.7,11.3,11.1,17.5,17,16.2,9.8,4.4,1.9,49428,23814,2.7,2.7,7.4,9,2.6,62100,72781,35.6
PA,"Cumberland County, Pennsylvania",Cumberland County, Pennsylvania,0500000US42041,101823,3.2,2.8,6.2,8.7,10.6,18,16.2,18.6,7.4,8.3,75391,64780,2.4,1.2,2.5,4.1,11.8,93456,115847,25
PA,"Dauphin County, Pennsylvania",Dauphin County, Pennsylvania,0500000US42043,113905,6.6,2.8,9.4,9.8,12.5,19.7,14.1,15,5,5.2,60733,67366,4.4,1.1,5,7.7,7.9,77445,100301,44.9
PA,"Delaware County, Pennsylvania",Delaware County, Pennsylvania,0500000US42045,209502,5.2,2.9,6.7,8.8,10.3,14.7,12.4,17.2,9,12.8,77339,138319,3,1.6,3.8,5.9,17.8,101865,135700,40.9
PA,"Erie County, Pennsylvania",Erie County, Pennsylvania,0500000US42049,110128,8.1,4.7,11.8,9.8,13.6,18.6,12.8,13.6,3.5,3.5,51818,65759,4.6,3.8,7.3,6.8,4.8,67505,80873,35.2
PA,"Fayette County, Pennsylvania",Fayette County, Pennsylvania,0500000US42051,54955,7.6,7.5,10.9,11.5,14.2,16,12.4,13.9,3.3,2.7,48509,32290,4.6,3.2,9.2,10.1,4.1,64528,82856,33.9
PA,"Franklin County, Pennsylvania",Franklin County, Pennsylvania,0500000US42055,60260,2.9,2.8,8.2,10.6,15.3,18,18.7,15.9,4.4,3.3,62484,40079,2.5,0.7,3.5,7.8,4.2,77162,89182,25.2
PA,"Indiana County, Pennsylvania",Indiana County, Pennsylvania,0500000US42063,30704,6.1,5.6,10.8,10.4,14.9,16.3,11.8,16.8,5.4,1.9,51914,19008,4,1.4,5.4,9.2,2.6,71780,85046,37
PA,"Lackawanna County, Pennsylvania",Lackawanna County, Pennsylvania,0500000US42069,88154,5.6,5.8,11.2,9.5,14.1,17.4,14.5,13,4.1,4.7,53826,55846,3.9,2.5,7.7,8.8,6.6,67313,87761,38.7
PA,"Lancaster County, Pennsylvania",Lancaster County, Pennsylvania,0500000US42071,204701,4.7,3.3,7.4,7.1,13,19.9,16,16.5,5.7,6.5,67376,142461,3.3,1.7,3.1,5.5,8.4,81132,103603,43
PA,"Lawrence County, Pennsylvania",Lawrence County, Pennsylvania,0500000US42073,37282,7.3,5.5,9.5,13.4,13.8,17.3,14.2,11.5,4.3,3.3,50547,24265,4.7,2.2,4,11.9,4.9,65807,83366,34.8
PA,"Lebanon County, Pennsylvania",Lebanon County, Pennsylvania,0500000US42075,53861,4,3.5,8.9,11.6,11,21.1,14.6,14.7,7.1,3.5,61204,36317,4.2,1.6,6.5,5.5,4.1,76965,87921,47
PA,"Lehigh County, Pennsylvania",Lehigh County, Pennsylvania,0500000US42077,137847,4.6,3.8,8.6,8.1,13.5,17.4,13.3,17,7.2,6.4,65667,95079,3.3,1.8,6.3,7.2,8.1,77262,100009,27.4
PA,"Luzerne County, Pennsylvania",Luzerne County, Pennsylvania,0500000US42079,130890,7,5.2,9.9,11,13.9,19.7,13.2,12.3,4.6,3.2,53972,80336,4.6,2.8,5.9,8.7,4.6,65644,83323,39.4
PA,"Lycoming County, Pennsylvania",Lycoming County, Pennsylvania,0500000US42081,44842,5.6,4.8,12.1,12,11,19,14.3,13.8,3.8,3.5,53881,28763,5.9,2.6,7.3,9.6,4.3,70079,84464,30.5
PA,"Mercer County, Pennsylvania",Mercer County, Pennsylvania,0500000US42085,46427,5.3,5.8,10.2,10.8,13.4,19.3,14,14.8,4.2,2.1,54543,29296,4.2,3.5,5.1,8.8,3,70402,79581,29.8
PA,"Monroe County, Pennsylvania",Monroe County, Pennsylvania,0500000US42089,56274,5.6,3.5,6.3,10.4,13.3,17.3,13.7,17,8.1,4.8,62413,40663,3.2,1.8,5.3,6.5,6.6,77039,97103,34.9
PA,"Montgomery County, Pennsylvania",Montgomery County, Pennsylvania,0500000US42091,321373,3,2,5.5,6.2,8.2,14.6,13.9,18.9,11.5,16.1,92302,217598,1.7,0.7,2.3,3.8,21.4,115533,151592,31.4
PA,"Northampton County, Pennsylvania",Northampton County, Pennsylvania,0500000US42095,114950,4.1,2.4,6.4,9.1,10.2,18.2,14.8,19.9,7.2,7.7,74328,76846,2.3,1.1,3.2,6.2,10.2,87976,108665,36
PA,"Northumberland County, Pennsylvania",Northumberland County, Pennsylvania,0500000US42097,38592,5.6,5.6,9.8,15.5,15.9,19.3,11.2,12.1,3.4,1.6,47349,24939,6.6,1.4,6.2,10,2.5,59477,72460,33.5
PA,"Philadelphia County, Pennsylvania",Philadelphia County, Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,338852,7.7,5,9,10,7.1,54978,82028,46.1
PA,"Schuylkill County, Pennsylvania",Schuylkill County, Pennsylvania,0500000US42107,58242,5,6.1,10.5,9.2,12.9,20.6,15.3,14,4,2.4,56295,37730,4.2,1.3,5.1,7,2.7,67787,77863,41
PA,"Somerset County, Pennsylvania",Somerset County, Pennsylvania,0500000US42111,29456,5.9,4.3,13.4,10.8,17.3,17.4,13.1,13.1,2.8,1.9,48895,19642,3,3.2,8.1,9,2,63990,72544,30.4
PA,"Washington County, Pennsylvania",Washington County, Pennsylvania,0500000US42125,86716,5.1,5.5,7,8.6,12.6,16.8,12.9,15.8,7.9,7.7,65431,55227,2.6,2.6,4,5.7,10.2,85110,107340,39.3
PA,"Westmoreland County, Pennsylvania",Westmoreland County, Pennsylvania,0500000US42129,155147,7.2,3.9,9.1,9.3,13.7,17.9,14,14.1,5.9,5,59073,94737,3,2,4.5,5.9,7.4,79124,96797,32.7
PA,"York County, Pennsylvania",York County, Pennsylvania,0500000US42133,175441,4.3,3.1,8,7.4,12.3,19.4,14.2,19,6.9,5.4,69172,118266,1.5,1.7,3.9,5.5,7.4,83957,100924,30
RI,"Kent County, Rhode Island",Kent County, Rhode Island,0500000US44003,70166,4.1,2.7,7.8,6.5,9.6,19.9,15.4,19.7,7.7,6.6,74474,43103,2.1,0.7,4.7,4.6,9.4,91393,112364,40.3
RI,"Newport County, Rhode Island",Newport County, Rhode Island,0500000US44005,33690,5.9,1.7,5.5,7.4,9.8,15.1,13.6,18,10.5,12.5,81652,20749,1.1,2.4,1.8,5.6,18.9,108973,154821,30.9
RI,"Providence County, Rhode Island",Providence County, Rhode Island,0500000US44007,237518,6.7,5.8,8.7,8,12,16.7,14.2,15.9,6.7,5.4,62994,141097,3.7,3,5.3,5.6,8,79424,97930,42.7
RI,"Washington County, Rhode Island",Washington County, Rhode Island,0500000US44009,48051,3.2,3.1,4.3,8.8,8.4,14.6,11,22.4,11.9,12.4,90003,33057,2,0,2.2,5.2,17.2,114594,138268,35.1
