LST,Geographic_Area_Name,County,STATE,id,Estimate_Households_Total,"Estimate_Households_Total_Less_than_10,000","Estimate_Households_Total_$10,000_to_$14,999","Estimate_Households_Total_$15,000_to_$24,999","Estimate_Households_Total_$25,000_to_$34,999","Estimate_Households_Total_$35,000_to_$49,999","Estimate_Households_Total_$50,000_to_74,999","Estimate_Households_Total_$75,000_to_$99,999","Estimate_Households_Total_$100,000_to_$149,999","Estimate_Households_Total_$150,000_to_$199,999","Estimate_Households_Total_$200,000_or_more",EstimateHouseholds!!Median_income_(dollars),Estimate_Families_Total,"Estimate_Families_Total_Less_than_$10,000","Estimate_Families_Total_$10,000_to_$14,999","Estimate_Families_Total_$15,000_to_$24,999","Estimate_Families_Total_$25,000_to_$34,999","Estimate_Families_Total_$200,000_or_more",EstimateFamilies!!Median income (dollars),Estimate_Families_Mean_income_$,EstimateFamiliesPERCENT_ALLOCATEDFamily_income_in_the_past_12_months
NM,"Doña Ana County, New Mexico",Doña Ana County, New Mexico,0500000US35013,79094,11.6,7,14.1,10.2,12.1,18.4,11,9.9,3.4,2.3,43038,50871,5.5,5.6,12.7,10.7,2.5,51114,65225,36.5
NM,"Lea County, New Mexico",Lea County, New Mexico,0500000US35025,24478,10.7,2.1,7.7,8.3,9.6,16.7,21.5,14.8,5.5,3.2,68457,17359,7,1.9,3.5,5.9,2.9,78086,87069,35.1
NM,"McKinley County, New Mexico",McKinley County, New Mexico,0500000US35031,21719,15.9,6.7,11.1,12,15.6,16.1,10.8,7.6,2.8,1.3,37153,16425,14.1,5.5,12.7,10.3,1.7,42213,52990,57.6
NM,"Otero County, New Mexico",Otero County, New Mexico,0500000US35035,24133,6.6,4.3,18,17.6,14.5,17.9,9.8,6.5,3.2,1.7,39371,14883,5,1.9,17.7,13.7,2.5,46804,65352,23.2
NM,"Sandoval County, New Mexico",Sandoval County, New Mexico,0500000US35043,53251,3.5,2.9,6,6.3,14.2,18.9,17.2,18.1,5.4,7.7,71997,40686,1.8,2.2,4,5.7,10,79432,98815,34.6
NM,"San Juan County, New Mexico",San Juan County, New Mexico,0500000US35045,42561,8.7,5,12.7,13.7,15.5,20.9,8.8,9.8,2.8,2.2,44321,30001,6.3,3.4,10.8,14.3,2.8,48713,66563,32.9
NM,"Santa Fe County, New Mexico",Santa Fe County, New Mexico,0500000US35049,62182,6.7,4,8,10.4,12.5,17.7,12.9,13.2,6.4,8.3,61298,36815,3.6,1.7,6.3,9.1,11.5,72542,105959,38.5
NM,"Valencia County, New Mexico",Valencia County, New Mexico,0500000US35061,24829,8,6.4,10.3,8.8,6.3,22.2,15,11.6,6.3,5.1,60601,16488,5.5,3.4,8.6,9.1,3.9,60480,77951,46.3
NY,"Albany County, New York",Albany County, New York,0500000US36001,128284,5.1,5.1,6.6,8.6,11,16.1,12.5,19.1,8.7,7.3,69953,73408,3.2,2.1,4,5.1,11.3,98162,114248,36.5
NY,"Bronx County, New York",Bronx County, New York,0500000US36005,513890,14.7,8.5,11.8,9.1,12.3,16.9,9.6,10,3.8,3.3,41432,311284,10.2,5.3,10.5,8.8,4,50835,68747,45.9
NY,"Broome County, New York",Broome County, New York,0500000US36007,79309,8.1,5.6,11.7,9.4,13.7,17.8,13.3,12.2,4.3,3.9,52010,46027,5.8,3.1,7.4,7.1,6,67649,83260,37.5
NY,"Cattaraugus County, New York",Cattaraugus County, New York,0500000US36009,33056,6.3,7.8,11.6,9.7,13.4,19.7,14.8,9.7,4,2.9,50912,20382,3.6,3.4,7,7.6,3.2,62243,75440,31.3
NY,"Cayuga County, New York",Cayuga County, New York,0500000US36011,31489,5.9,3.5,9.2,7.8,15.2,19.6,14.2,13.8,7.4,3.3,58665,19199,2,3,7.2,6.2,3.8,75578,90619,36.4
NY,"Chautauqua County, New York",Chautauqua County, New York,0500000US36013,55345,8.9,6.5,13.9,8.2,12.4,16.3,11.9,15.1,4.5,2.6,50272,32043,3.2,3.9,7.1,7,3.8,69181,81271,36.2
NY,"Chemung County, New York",Chemung County, New York,0500000US36015,33490,8.8,3.8,8,8.2,12.6,20.5,14.2,15.7,5.5,2.9,60782,20850,3,2.3,6.5,7.3,2.8,70078,84277,37.8
NY,"Clinton County, New York",Clinton County, New York,0500000US36019,31422,9.4,3.3,7.4,8.9,11.5,21.9,14.7,13.1,6.9,2.9,60198,18148,7.3,0.9,2.2,5.4,4.3,78004,104381,30.2
NY,"Dutchess County, New York",Dutchess County, New York,0500000US36027,110529,4.7,3.4,7.5,6.8,8.1,15.1,11.2,20.1,10.5,12.7,85901,72749,2.4,0.7,4.3,5.4,16.9,107176,134373,41
NY,"Erie County, New York",Erie County, New York,0500000US36029,398326,6.6,4.5,9.4,9.5,12,18.2,12.9,14.3,6.9,5.7,60652,232865,4.1,2,6.1,7,8.6,79188,99576,36.7
NY,"Jefferson County, New York",Jefferson County, New York,0500000US36045,41214,6.6,4.6,8.9,10.5,14.7,20.3,14.8,13.5,3.2,2.8,53917,27634,4.9,2.6,6.3,8.5,3.3,65378,76480,27.8
NY,"Kings County, New York",Kings County, New York,0500000US36047,978091,7.9,5.6,8.7,7.6,9.9,14.6,11.3,14.8,8.2,11.4,66937,606916,5,3.4,8.2,7.9,13.3,74422,110664,56.6
NY,"Livingston County, New York",Livingston County, New York,0500000US36051,23409,7.4,3.6,9.8,8.8,13,20.6,12.8,13.5,5.8,4.8,59173,14765,6.3,1.6,4.8,6.2,6.2,75126,90321,33.7
NY,"Madison County, New York",Madison County, New York,0500000US36053,25986,4.6,2.3,11.8,6.1,14.8,16.6,14.6,17.6,4.2,7.4,62918,17778,2.7,1.4,6.5,4,10.8,82327,105780,37.1
NY,"Monroe County, New York",Monroe County, New York,0500000US36055,305284,5.7,4.3,9.4,9.1,12.1,17.3,13.1,15.8,7,6.2,62103,176863,2.5,2.1,5.9,6.3,9.1,84034,105744,36.7
NY,"Nassau County, New York",Nassau County, New York,0500000US36059,449798,3,1.7,5.1,3.9,6.5,11.5,10.5,18.5,14.3,25,118453,339705,1.1,0.9,2.3,2.9,30.4,140640,180662,45.5
NY,"New York County, New York",New York County, New York,0500000US36061,768203,9.2,4.4,6.2,5.2,6.4,10.6,9.7,14,9.1,25.1,93651,318351,4,3.2,5.4,5.1,35.8,126690,233184,42.5
NY,"Niagara County, New York",Niagara County, New York,0500000US36063,90625,7.9,4.9,9.4,9.4,13.5,16.7,13.2,15.3,5.8,4,56304,53472,3.6,2.6,4.3,6.8,6,77774,92068,33.4
